sales_order_id,model,version,quantity,order_type,requested_date,created_at,accepted_request_date
S6000,S2,V1,10,webshop,2025-03-03,2025-01-01,2025-01-02
S6001,S1,V1,42,webshop,2025-03-31,2025-01-03,2025-01-04
S6002,S1,V1,13,webshop,2025-04-10,2025-01-05,2025-01-06
S6003,S2,V2,24,webshop,2025-04-04,2025-01-07,2025-01-08
S6004,S3,V2,28,fleet_framework,2025-04-03,2025-01-09,2025-01-10
S6005,S1,V1,40,fleet_framework,2025-03-26,2025-01-11,2025-01-12
S6006,S2,V2,15,fleet_framework,2025-03-01,2025-01-13,2025-01-14
S6007,S3,V2,17,webshop,2025-03-15,2025-01-15,2025-01-16
S6008,S1,V2,18,webshop,2025-03-03,2025-01-17,2025-01-18
S6009,S2,V1,20,webshop,2025-03-15,2025-01-19,2025-01-20
S6010,S1,V1,36,webshop,2025-03-13,2025-01-21,2025-01-22
S6011,S2,V2,9,fleet_spot,2025-04-04,2025-01-23,2025-01-24
S6012,S1,V1,43,fleet_framework,2025-03-13,2025-01-25,2025-01-26
S6013,S2,V1,44,fleet_framework,2025-03-02,2025-01-27,2025-01-28
S6014,S3,V1,23,webshop,2025-03-04,2025-01-29,2025-01-30
S6015,S2,V2,23,webshop,2025-04-13,2025-01-31,2025-02-01
S6016,S1,V2,48,webshop,2025-03-22,2025-02-02,2025-02-03
S6017,S1,V1,23,webshop,2025-04-08,2025-02-04,2025-02-05
S6018,S3,V1,52,webshop,2025-02-28,2025-02-06,2025-02-07
S6019,S1,V1,25,fleet_framework,2025-03-23,2025-02-08,2025-02-09
S6020,S1,V2,38,fleet_framework,2025-04-13,2025-02-10,2025-02-11
S6021,S3,V1,30,fleet_spot,2025-04-24,2025-02-12,2025-02-13
S6022,S3,V2,7,webshop,2025-03-14,2025-02-14,2025-02-15
S6023,S2,V1,14,fleet_framework,2025-04-09,2025-02-16,2025-02-17
S6024,S2,V2,35,webshop,2025-04-04,2025-02-18,2025-02-19
S6025,S2,V1,10,webshop,2025-03-16,2025-02-20,2025-02-21
S6026,S2,V2,11,webshop,2025-04-20,2025-02-22,2025-02-23
S6027,S1,V1,24,fleet_spot,2025-02-26,2025-02-24,2025-02-25
S6028,S2,V2,7,webshop,2025-04-11,2025-02-26,2025-02-27
S6029,S2,V2,37,fleet_spot,2025-02-24,2025-02-28,2025-02-29
S6030,S2,V1,30,webshop,2025-03-22,2025-02-30,2025-03-01
S6031,S3,V2,54,webshop,2025-03-22,2025-03-02,2025-03-03
S6032,S1,V2,53,fleet_framework,2025-03-03,2025-03-04,2025-03-05
S6033,S2,V2,22,fleet_spot,2025-03-26,2025-03-06,2025-03-07
S6034,S2,V2,34,fleet_spot,2025-03-17,2025-03-08,2025-03-09
S6035,S3,V1,41,webshop,2025-04-22,2025-03-10,2025-03-11
S6036,S2,V2,55,fleet_framework,2025-03-11,2025-03-12,2025-03-13
S6037,S2,V1,20,fleet_framework,2025-04-14,2025-03-14,2025-03-15
S6038,S1,V1,52,fleet_spot,2025-04-09,2025-03-16,2025-03-17
S6039,S2,V2,25,webshop,2025-03-03,2025-03-18,2025-03-19
S6040,S2,V2,18,webshop,2025-04-09,2025-03-20,2025-03-21
S6041,S2,V2,45,fleet_framework,2025-03-27,2025-03-22,2025-03-23
S6042,S3,V1,2,webshop,2025-03-12,2025-03-24,2025-03-25
S6043,S3,V2,18,webshop,2025-03-09,2025-03-26,2025-03-27
S6044,S1,V1,39,webshop,2025-04-15,2025-03-28,2025-03-29
S6045,S2,V1,29,fleet_spot,2025-03-29,2025-03-30,2025-03-31
S6046,S3,V2,30,webshop,2025-03-14,2025-04-01,2025-04-02
S6047,S2,V1,46,fleet_spot,2025-03-25,2025-04-03,2025-04-04
S6048,S3,V1,57,fleet_spot,2025-04-11,2025-04-05,2025-04-06
S6049,S2,V2,54,webshop,2025-04-16,2025-04-07,2025-04-08
S6050,S2,V2,30,fleet_spot,2025-03-20,2025-04-09,2025-04-10
S6051,S2,V2,44,fleet_framework,2025-04-11,2025-04-11,2025-04-12
S6052,S3,V1,41,fleet_framework,2025-04-22,2025-04-13,2025-04-14
S6053,S3,V1,34,fleet_framework,2025-02-28,2025-04-15,2025-04-16
S6054,S2,V1,56,webshop,2025-02-27,2025-04-17,2025-04-18
S6055,S2,V2,33,fleet_spot,2025-03-07,2025-04-19,2025-04-20
S6056,S3,V2,16,fleet_spot,2025-03-03,2025-04-21,2025-04-22
S6057,S3,V1,2,webshop,2025-03-01,2025-04-23,2025-04-24
S6058,S2,V2,46,fleet_spot,2025-04-20,2025-04-25,2025-04-26
S6059,S3,V1,17,webshop,2025-03-05,2025-04-27,2025-04-28
S6060,S3,V1,47,webshop,2025-03-17,2025-04-29,2025-04-30
S6061,S3,V1,43,fleet_framework,2025-03-25,2025-05-01,2025-05-02
S6062,S1,V2,41,webshop,2025-03-24,2025-05-03,2025-05-04
S6063,S1,V2,13,fleet_framework,2025-04-05,2025-05-05,2025-05-06
S6064,S1,V1,45,webshop,2025-03-25,2025-05-07,2025-05-08
S6065,S3,V2,38,fleet_spot,2025-04-23,2025-05-09,2025-05-10
S6066,S3,V2,3,fleet_spot,2025-02-24,2025-05-11,2025-05-12
S6067,S3,V1,6,webshop,2025-04-08,2025-05-13,2025-05-14
S6068,S2,V1,47,webshop,2025-03-01,2025-05-15,2025-05-16
S6069,S1,V2,26,webshop,2025-03-22,2025-05-17,2025-05-18
S6070,S1,V1,10,webshop,2025-03-14,2025-05-19,2025-05-20
S6071,S1,V1,14,webshop,2025-03-02,2025-05-21,2025-05-22
S6072,S1,V2,58,fleet_framework,2025-04-19,2025-05-23,2025-05-24
S6073,S1,V1,14,webshop,2025-04-13,2025-05-25,2025-05-26
S6074,S1,V1,58,fleet_spot,2025-03-19,2025-05-27,2025-05-28
S6075,S3,V2,10,fleet_framework,2025-03-11,2025-05-29,2025-05-30
S6076,S3,V2,39,webshop,2025-04-15,2025-05-31,2025-06-01
S6077,S2,V2,43,fleet_spot,2025-03-14,2025-06-02,2025-06-03
S6078,S3,V2,26,webshop,2025-03-03,2025-06-04,2025-06-05
S6079,S2,V2,2,fleet_spot,2025-03-10,2025-06-06,2025-06-07
S6080,S3,V2,51,fleet_spot,2025-04-11,2025-06-08,2025-06-09
S6081,S1,V2,15,fleet_framework,2025-03-05,2025-06-10,2025-06-11
S6082,S3,V1,41,webshop,2025-03-09,2025-06-12,2025-06-13
S6083,S3,V2,35,webshop,2025-04-17,2025-06-14,2025-06-15
S6084,S3,V1,7,fleet_framework,2025-04-04,2025-06-16,2025-06-17
S6085,S1,V2,47,fleet_spot,2025-03-09,2025-06-18,2025-06-19
S6086,S3,V2,5,fleet_spot,2025-04-21,2025-06-20,2025-06-21
S6087,S2,V2,56,webshop,2025-04-03,2025-06-22,2025-06-23
S6088,S1,V2,1,fleet_spot,2025-04-05,2025-06-24,2025-06-25
S6089,S3,V1,46,webshop,2025-04-06,2025-06-26,2025-06-27
S6090,S1,V1,20,fleet_framework,2025-03-05,2025-06-28,2025-06-29
S6091,S3,V2,46,webshop,2025-03-15,2025-06-30,2025-07-01
S6092,S1,V1,36,webshop,2025-03-14,2025-07-02,2025-07-03
S6093,S3,V2,10,fleet_spot,2025-03-29,2025-07-04,2025-07-05
S6094,S1,V1,47,webshop,2025-03-11,2025-07-06,2025-07-07
S6095,S1,V1,6,webshop,2025-03-19,2025-07-08,2025-07-09
S6096,S3,V2,51,fleet_spot,2025-04-07,2025-07-10,2025-07-11
S6097,S3,V2,27,fleet_framework,2025-03-21,2025-07-12,2025-07-13
S6098,S2,V1,34,fleet_framework,2025-04-08,2025-07-14,2025-07-15
S6099,S2,V2,12,webshop,2025-04-18,2025-07-16,2025-07-17
S6100,S1,V1,16,fleet_spot,2025-04-16,2025-07-18,2025-07-19
S6101,S3,V2,48,fleet_spot,2025-02-26,2025-07-20,2025-07-21
S6102,S1,V1,38,webshop,2025-04-01,2025-07-22,2025-07-23
S6103,S1,V1,11,fleet_framework,2025-03-22,2025-07-24,2025-07-25
S6104,S1,V2,13,fleet_spot,2025-03-25,2025-07-26,2025-07-27
S6105,S3,V1,50,fleet_spot,2025-03-16,2025-07-28,2025-07-29
S6106,S3,V1,26,webshop,2025-03-30,2025-07-30,2025-07-31
S6107,S2,V2,33,fleet_spot,2025-03-23,2025-08-01,2025-08-02
S6108,S2,V1,33,fleet_spot,2025-03-21,2025-08-03,2025-08-04
S6109,S2,V1,15,webshop,2025-04-04,2025-08-05,2025-08-06
S6110,S3,V2,11,webshop,2025-02-25,2025-08-07,2025-08-08
S6111,S2,V1,57,fleet_framework,2025-04-04,2025-08-09,2025-08-10
S6112,S3,V1,40,fleet_spot,2025-04-24,2025-08-11,2025-08-12
S6113,S1,V1,26,webshop,2025-04-22,2025-08-13,2025-08-14
S6114,S2,V1,16,fleet_spot,2025-03-28,2025-08-15,2025-08-16
S6115,S3,V2,10,webshop,2025-03-15,2025-08-17,2025-08-18
S6116,S2,V1,53,webshop,2025-04-24,2025-08-19,2025-08-20
S6117,S2,V2,30,fleet_framework,2025-03-06,2025-08-21,2025-08-22
S6118,S1,V2,57,fleet_framework,2025-03-27,2025-08-23,2025-08-24
S6119,S1,V2,33,webshop,2025-04-16,2025-08-25,2025-08-26
S6120,S2,V1,54,webshop,2025-03-06,2025-08-27,2025-08-28
S6121,S1,V1,24,fleet_framework,2025-03-25,2025-08-29,2025-08-30
S6122,S1,V1,1,webshop,2025-04-18,2025-08-31,2025-09-01
S6123,S3,V2,57,webshop,2025-03-30,2025-09-02,2025-09-03
S6124,S2,V2,8,webshop,2025-03-26,2025-09-04,2025-09-05
S6125,S2,V1,22,fleet_spot,2025-04-19,2025-09-06,2025-09-07
S6126,S1,V2,38,fleet_spot,2025-04-21,2025-09-08,2025-09-09
S6127,S1,V1,37,fleet_framework,2025-03-07,2025-09-10,2025-09-11
S6128,S2,V1,59,fleet_framework,2025-04-18,2025-09-12,2025-09-13
S6129,S2,V2,36,webshop,2025-03-25,2025-09-14,2025-09-15
S6130,S2,V1,31,webshop,2025-03-13,2025-09-16,2025-09-17
S6131,S2,V2,36,fleet_framework,2025-04-21,2025-09-18,2025-09-19
S6132,S2,V2,42,fleet_framework,2025-04-14,2025-09-20,2025-09-21
S6133,S3,V1,28,webshop,2025-03-19,2025-09-22,2025-09-23
S6134,S3,V2,23,fleet_spot,2025-03-27,2025-09-24,2025-09-25
S6135,S1,V2,43,webshop,2025-02-25,2025-09-26,2025-09-27
S6136,S3,V1,19,fleet_framework,2025-02-23,2025-09-28,2025-09-29
S6137,S3,V2,60,webshop,2025-03-05,2025-09-30,2025-10-01
S6138,S3,V1,11,fleet_spot,2025-02-24,2025-10-02,2025-10-03
S6139,S2,V1,7,fleet_spot,2025-03-02,2025-10-04,2025-10-05
S6140,S1,V1,2,webshop,2025-03-20,2025-10-06,2025-10-07
S6141,S3,V1,27,fleet_spot,2025-04-12,2025-10-08,2025-10-09
S6142,S1,V1,31,webshop,2025-03-20,2025-10-10,2025-10-11
S6143,S1,V2,46,fleet_spot,2025-03-23,2025-10-12,2025-10-13
S6144,S3,V2,43,fleet_framework,2025-04-19,2025-10-14,2025-10-15
S6145,S2,V1,47,webshop,2025-04-02,2025-10-16,2025-10-17
S6146,S3,V2,19,fleet_spot,2025-04-19,2025-10-18,2025-10-19
S6147,S3,V2,53,fleet_spot,2025-02-26,2025-10-20,2025-10-21
S6148,S3,V1,51,webshop,2025-04-13,2025-10-22,2025-10-23
S6149,S2,V1,2,fleet_spot,2025-04-05,2025-10-24,2025-10-25
S6150,S3,V1,7,fleet_spot,2025-04-07,2025-10-26,2025-10-27
S6151,S1,V2,19,webshop,2025-03-04,2025-10-28,2025-10-29
S6152,S3,V2,51,webshop,2025-03-16,2025-10-30,2025-10-31
S6153,S2,V2,37,webshop,2025-03-15,2025-11-01,2025-11-02
S6154,S3,V1,37,webshop,2025-04-12,2025-11-03,2025-11-04
S6155,S1,V1,2,fleet_spot,2025-04-21,2025-11-05,2025-11-06
S6156,S1,V1,13,fleet_spot,2025-04-10,2025-11-07,2025-11-08
S6157,S2,V1,44,fleet_spot,2025-03-19,2025-11-09,2025-11-10
S6158,S3,V1,51,webshop,2025-03-20,2025-11-11,2025-11-12
S6159,S2,V1,43,fleet_framework,2025-04-11,2025-11-13,2025-11-14
S6160,S2,V1,29,fleet_framework,2025-03-19,2025-11-15,2025-11-16
S6161,S1,V1,12,webshop,2025-03-29,2025-11-17,2025-11-18
S6162,S2,V1,30,webshop,2025-04-06,2025-11-19,2025-11-20
S6163,S2,V2,32,webshop,2025-03-10,2025-11-21,2025-11-22
S6164,S3,V1,11,webshop,2025-04-18,2025-11-23,2025-11-24
S6165,S1,V2,29,webshop,2025-03-25,2025-11-25,2025-11-26
S6166,S3,V1,39,fleet_spot,2025-03-01,2025-11-27,2025-11-28
S6167,S1,V1,58,fleet_spot,2025-03-19,2025-11-29,2025-11-30
S6168,S2,V2,2,webshop,2025-03-30,2025-12-01,2025-12-02
S6169,S3,V2,3,fleet_framework,2025-04-12,2025-12-03,2025-12-04
S6170,S1,V2,33,webshop,2025-04-12,2025-12-05,2025-12-06
S6171,S1,V2,35,fleet_spot,2025-04-17,2025-12-07,2025-12-08
S6172,S1,V2,30,fleet_framework,2025-03-02,2025-12-09,2025-12-10
S6173,S3,V1,20,fleet_framework,2025-03-15,2025-12-11,2025-12-12
S6174,S1,V1,22,fleet_framework,2025-03-02,2025-12-13,2025-12-14
S6175,S1,V2,35,fleet_spot,2025-04-13,2025-12-15,2025-12-16
S6176,S1,V2,50,fleet_framework,2025-03-22,2025-12-17,2025-12-18
S6177,S2,V2,32,webshop,2025-03-07,2025-12-19,2025-12-20
S6178,S2,V1,44,webshop,2025-04-18,2025-12-21,2025-12-22
S6179,S2,V2,3,fleet_spot,2025-03-21,2025-12-23,2025-12-24
S6180,S2,V1,2,webshop,2025-03-18,2025-12-25,2025-12-26
S6181,S2,V2,2,fleet_framework,2025-04-13,2025-12-27,2025-12-28
S6182,S1,V1,21,webshop,2025-03-12,2025-12-29,2025-12-30
S6183,S3,V2,6,webshop,2025-03-16,2025-12-31,2026-01-01
S6184,S2,V1,19,webshop,2025-02-25,2026-01-02,2026-01-03
S6185,S2,V2,24,webshop,2025-04-14,2026-01-04,2026-01-05
S6186,S3,V1,37,webshop,2025-04-18,2026-01-06,2026-01-07
S6187,S3,V1,4,fleet_framework,2025-03-28,2026-01-08,2026-01-09
S6188,S3,V2,31,webshop,2025-04-08,2026-01-10,2026-01-11
S6189,S2,V2,36,fleet_framework,2025-03-17,2026-01-12,2026-01-13
S6190,S2,V2,17,fleet_spot,2025-03-18,2026-01-14,2026-01-15
S6191,S1,V1,21,fleet_spot,2025-03-27,2026-01-16,2026-01-17
S6192,S1,V2,19,webshop,2025-03-17,2026-01-18,2026-01-19
S6193,S3,V1,49,webshop,2025-03-31,2026-01-20,2026-01-21
S6194,S3,V1,44,webshop,2025-03-04,2026-01-22,2026-01-23
S6195,S3,V1,28,fleet_spot,2025-02-25,2026-01-24,2026-01-25
S6196,S3,V2,8,fleet_spot,2025-04-18,2026-01-26,2026-01-27
S6197,S1,V2,52,fleet_framework,2025-02-26,2026-01-28,2026-01-29
S6198,S1,V1,40,webshop,2025-02-27,2026-01-30,2026-01-31
S6199,S2,V1,23,fleet_spot,2025-04-14,2026-02-01,2026-02-02
